,post,target,handle,fold
0,All the feels <url>,0,KimKardashian,1.0
1,Tune in to Ellen today @<user> <url>,0,KimKardashian,1.0
2,Added new items to my # KardashianKlosetCheck them out now <url>,0,KimKardashian,1.0
3,Join me in the front row to get style inspo Play @<user> to wear iconic looks and walk the runway at fashion week <url> <url>,0,KimKardashian,1.0
4,The universe can give you every sign you need but you see what you wan na see when youre ready to see it <url>,0,KimKardashian,1.0
5,Julius Jones was just given an execution date of Nov 18th despite the Pardon amp Parole Board recommending his sentence be commuted Help us SAVE HIS LIFE by contacting @<user> at <url> amp asking him to commute Julius sentence # JusticeforJulius @<user> <url>,0,KimKardashian,1.0
6,Megan Fox and Kourtney Kardashian for Skims <url>,0,KimKardashian,1.0
7,OMFG no turning back now LOLIm hosting SNL @<user> <url>,0,KimKardashian,1.0
8,Just added new items to my # KardashianKloset <url>,0,KimKardashian,1.0
9,I am so excited to announce that SKIMS will be coming soon to Paris Our first European popup opens on September 28th exclusively at @<user> I cant wait for you to experience everything in person <url>,0,KimKardashian,1.0
10,I saw it was National Daughters Day so this post goes out to my mom and my daughters for when they are teenagers lol North and Chi please be easy on me when youre the age I was in theses pics and Mom Im sorry <url>,0,KimKardashian,1.0
11,I remember being grounded here for Kourtney stealing your car just to drive it around the block and some how even though I didnt participate I still got in trouble So we had nothing else to do but do photo shoots in the garage <url>,0,KimKardashian,1.0
12,It was never me I just listened to what my older sister said and friends They were such bad influences and I was perfect and for that Im sorry <url>,0,KimKardashian,1.0
13,Introducing @<user> Socks Socks dont get better than this Check out my IG stories for all of the styles Drops Wednesday September 29 at 9AM PT in 4 essential styles <url>,0,KimKardashian,1.0
14,I am so excited to announce that SKIMS is now available Paris Be the first to visit our first European popup at @<user> Haussmann and dont forget to tag us in your photos I cant wait to see <url>,0,KimKardashian,1.0
15,To support ongoing efforts to free Julius Jones donate or pledge here <url> We need to raise 100000 to sustain and scale our campaign before his execution date,0,KimKardashian,1.0
16,Happy Birthday Mommy @<user> you are ultimate goals You are my hero You are my life Thank you for being the most nonjudgmental loving human being Ive ever met You take care of us all so selflessly Words cant describe my love for you OMG I love you so much mom,0,KimKardashian,1.0
17,my favorite emoji is the magic sparkle whats yours,0,KimKardashian,1.0
18,TATS <url>,0,KimKardashian,1.0
19,Thank you so much to the @<user> for the honor of winning the Brand Innovator Award Im wearing our new @<user> x @<user> dress and @<user> jewelry,0,KimKardashian,1.0
20,match made in heaven,0,KimKardashian,1.0
21,Coming Soon SKIMS SKIMS SKIMS This is one of my favorite collections If you look closely the pattern is SKIMS pointelle detail OMG swipe to look at the billboard how crazy is this Available in 5 colors and in sizes XXS 4X on Thursday August 27 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop before SKIMS SKIMS SKIMS sells out Go to my stories to see the full collection,0,KimKardashian,1.0
22,To our amazing fans <break> <break>It is with heavy hearts that weve made the difficult decision as a family to say goodbye to Keeping Up with the Kardashians<break><break>After what will be 14 years 20 seasons hundreds of episodes and numerous spinoff shows we are beyond grateful to all of you whove watched us for all of these years through the good times the bad times the happiness the tears and the many relationships and children Well forever cherish the wonderful memories and countless people weve met along the way <break> <break>Thank you to the thousands of individuals and businesses that have been a part of this experience and most importantly a very special thank you to Ryan Seacrest for believing in us E for being our partner and our production team at BunimMurray whove spent countless hours documenting our lives <break> <break>Our last season will air early next year in 2021 <break> <break>Without Keeping Up with The Kardashians I wouldnt be where I am today I am so incredibly grateful to everyone who has watched and supported me and my family these past 14 incredible years This show made us who we are and I will be forever in debt to everyone who played a role in shaping our careers and changing our lives forever <break> <break>With Love and Gratitude <break><break>Kim,0,KimKardashian,1.0
23,NOW AVAILABLE @<user> Special Anniversary Drop 4 new shapewear styles a new color and a restock of our classic styles that have become your goto for comfortable and smoothing support Shop now at SKIMSCOM and enjoy free shipping on domestic orders over 75,0,KimKardashian,1.0
24,Photo Booth fun Fact @<user> and I have so many photo booth pics of us from our childhood we wanted to aged to recreate a photo booth shoot wearing our new @<user> collection I am obsessed with our new lip crayon called London You guys will love this collection Its really for anyone with hectic schedules and want a quick make up look The collection drops 828 at KKWBEAUTYCOM # kkwxallison,0,KimKardashian,2.0
25,My Girls Swipe to see North trying to teach Chi to make a peace sign,0,KimKardashian,2.0
26,Save the Date @<user> Bridal Is Coming Soon From something silky to something blue weve got you covered with our most loved Solutionwear styles in new a soft blue color and a limited edition embroidered silk robe Launching in sizes XXS 5X on Friday September 25 at 9AM PT 12PM ET exclusively at SKIMSCOM Join the waitlist now to receive early access to shop before it sells out<break>Go to my stories to see more of the collection,0,KimKardashian,2.0
27,Every Day Mood,0,KimKardashian,2.0
28,What’s more American than a T-shirt head to toe?! https://t.co/Z0xr7v6M04,0,KimKardashian,2.0
29,These two are besties True and Psalm,0,KimKardashian,2.0
30,Swipe,0,KimKardashian,2.0
