,post,target,handle
0,no crying in softball,2,KylieJenner
1,date night,2,KylieJenner
2,happy birthday to my sister my partner in crime my best friend i wouldnt want to walk through life with anyone else i love you forever horsegirlkj,2,KylieJenner
3,daddy got us matching rings,2,KylieJenner
4,morning @<user>,2,KylieJenner
5,in full mommy mode this halloween i hope everyone has a safe night,2,KylieJenner
6,hello fall,2,KylieJenner
7,growing,2,KylieJenner
8,freddy girl my Nightmare On Elm Street halloween collection launches 1012 on KylieCosmeticscom @<user>,2,KylieJenner
9,KYLIE X NIGHTMARE ON ELM STREET collection launching 1012 im wearing our Freddy eyeshadow palette here Only A Dream lip lacquer,2,KylieJenner
10,found these pics i never posted from last year throwback to this looook one of my favorites,2,KylieJenner
11,still wish you well,2,KylieJenner
12,but are you registered to vote click the link in my bio lets make a plan to vote together,2,KylieJenner
13,7th day of fall,2,KylieJenner
14,morning,2,KylieJenner
15,bottega baby,2,KylieJenner
16,so excited to welcome my new Hyaluronic Acid Serum to the @<user> family This multifunctional lightweight serum is formulated with 4 layers of Hyaluronic Acid Niacinamide Snow Algae Tripeptides and so much more to help improve the look and feel of your skin I love how it keeps my skin hydrated throughout the day Launching September 18 9am pst on KylieSkincom follow @<user> for more info,2,KylieJenner
17,you call,2,KylieJenner
18,its everything for me,2,KylieJenner
19,this type of energy,2,KylieJenner
20,going through old pics found this little gem,2,KylieJenner
21,tb,2,KylieJenner
22,weekend vibes,2,KylieJenner
23,this smile,2,KylieJenner
24,thank you for all the love on the summer collection kyliecosmeticscom,2,KylieJenner
25,Im obsessed my sailor palette launches on the 31st at 3pm pst KylieCosmeticscom,2,KylieJenner
26,4 days to go until my @<user> Sailor Summer Collection launch featuring my NEW longlasting Shadow Stick formula and Lashes August 31st at 3pm pst on KylieCosmeticscom <break><break>Matte Lip Kit Kiss Me Sailor 29<break>High Gloss Private Island 16<break>Lashes Shady 18<break>Shadow Stick Duo 18<break>Sailor Palette 44<break>Sailor Collection Bundle 115,2,KylieJenner
27,leo season >,2,KylieJenner
28,my loves,2,KylieJenner
29,Im so excited that @<user> is now available at Nordstromcom and coming to all @<user> stores on September 16 # KylieXNordstrom,2,KylieJenner
30,brown eyed girl,2,KylieJenner
31,6am,2,KylieJenner
32,too good 2 be true,2,KylieJenner
33,me again,2,KylieJenner
34,rum punch the beach,2,KylieJenner
35,that summer feeling,2,KylieJenner
36,morning,2,KylieJenner
37,thank you my love @<user> for the most perfect bday dress,2,KylieJenner
38,no place id rather be,2,KylieJenner
39,XXIII,2,KylieJenner
40,the best gift of all,2,KylieJenner
41,23 Thank you God for another year The blessings and the lessons im here for it all and so thankful for each and every one of you,2,KylieJenner
42,office days,2,KylieJenner
43,prada bae,2,KylieJenner
44,theres levels to this uno shit,2,KylieJenner
45,Two more days till the clarifying collection launches on KylieSkincom @<user> 86 9am pst,2,KylieJenner
46,The new Kylie Skin Clarifying Collection launches August 6th on KylieSkincom make sure you follow @<user> for all the info on these amazing products,2,KylieJenner
47,@<user> @<user> @<user>,2,KylieJenner
48,vogue babyyy thank you @<user> for this cover @<user>,2,KylieJenner
49,what a night,2,KylieJenner
50,beach you to it,2,KylieJenner
51,my vibe right now is just living life,2,KylieJenner
52,my makeup melting cleanser has officially joined the family available right now,2,KylieJenner
53,fittings,2,KylieJenner
54,i love being your mommy,2,KylieJenner
55,pucci baby,2,KylieJenner
56,the sweetest love,2,KylieJenner
57,oh you wan na know where im at,2,KylieJenner
58,blurry nights,2,KylieJenner
59,fly girls have more fun,2,KylieJenner
60,in real life,2,KylieJenner
61,tinkerbell,2,KylieJenner
62,@<user> cover by @<user>,1,KendallJenner
63,thank you for all the birthday wishes,1,KendallJenner
64,nice planet well take it,1,KendallJenner
65,Mars Attacks <break>happy halloweeeeeen,1,KendallJenner
66,Love my # RayBanStories Swipe to see life through my eyes @<user> @<user> # ad,1,KendallJenner
67,@<user> <break> # aloyogapartner,1,KendallJenner
68,got ta figure out halloween,1,KendallJenner
69,im obsessed with these sunglasses by RayBan so fun and easy to capture the day<break> @ facebook @<user> # RayBanStories # ad,1,KendallJenner
70,nights with @<user> <break><break> # moonpartner,1,KendallJenner
71,final touches,1,KendallJenner
72,i lakes,1,KendallJenner
73,rum punch with my name on it,1,KendallJenner
74,Summer smile by @<user> # moonpartner,1,KendallJenner
75,@<user> The Chanel Issue by @<user>,1,KendallJenner
76,@<user> The Chanel Issue by<break> @ luigiandiango @<user> @<user> @<user>,1,KendallJenner
77,me and SIX on the new @<user> Sept cover its always been a dream of mine to be featured in this magazine considering my huge kinda secret love for real estate and interior design we shot this right before quarantine lock down so it feels like ages ago thank you AD and thank you a million times to @<user> and @<user> for making my home the sanctuary i had always dreamed of,1,KendallJenner
78,not earth <break>few weeks ago,1,KendallJenner
79,NEW @<user> campaign shot at home by me <break>love you @<user> <break> # TBSummerMonogram # ad,1,KendallJenner
80,Its live now My favorite makeup ever We worked so hard on this collab cant wait for you guys to enjoy it Kylie and I will be donating a portion of the sales from our @<user> collaboration to the Marsha P Johnson Institute an amazing organization that protects and defends the human rights of blacktransgender people @<user> was created in response to the murders of black trans women and women of color toelevate support and nourish the voices of black trans people We are so proud to be supporting their mission and thank the team for their work Find out more at MarshaPorg,1,KendallJenner
81,wearing KENDALL X KYLIE makeup collab and not much else,1,KendallJenner
82,love you,1,KendallJenner
83,to everyone reading this and to myself keep researching reading and educating yourself on how we can become better allies <break>Ive been doing a lot of thinking these past few days and my heart has been so heavy Im angry and hurt just like so many I will never personally understand the fear and pain that the black community go through on a daily basis but i know that nobody should have to live in constant fear I acknowledge my white privilege and promise I will continue to educate myself on how I can help raging on platforms can not be all that we do in order to repair the system we need to take real action off of social media this is a time to have those uncomfortable conversations with people and mainly with ourselves we must also make sure we are ready to vote when the time comes to elect the right people into office <break>the one truth that will always ring loudest is that BLACK LIVES MATTER <break>rest peacefully George Floyd and all victims of this horrible injustice,1,KendallJenner
84,new @<user> cover story by @<user>,1,KendallJenner
85,How are you really I am proud to stand with @<user> and The Mental Health Coalition to end the stigma against mental health conditions It is important now more than ever that we come together to promote acceptance and inspire hope Together and only together we can make a difference in millions of lives Please join me and share how you are really # howareyoureallychallenge @<user> @<user> <break>i nominate @<user> @<user> @<user> @<user> tell us how youre feeling,1,KendallJenner
86,did my makeup n stuff,1,KendallJenner
87,love your mther <break> @ krisjenner,1,KendallJenner
88,from the cloud archive,1,KendallJenner
89,i wan na go back so bad @<user>,1,KendallJenner
90,@<user> in SOHO by @<user>,1,KendallJenner
91,wbu,1,KendallJenner
92,i miss my friends <break>the sooner we quarantine the sooner we can get back to our peoples again,1,KendallJenner
93,Pyro,1,KendallJenner
94,Ken out of Ken,1,KendallJenner
95,me and this bikini a love story,1,KendallJenner
96,new @<user> campaign deal with it # MYCALVINS <break>shot by @<user>,1,KendallJenner
97,New @<user> campaign by @<user> @<user> # BORNIN1995 # liujoss20 # ad,1,KendallJenner
98,i love my @<user> deal with it # MYCALVINS # ad,1,KendallJenner
99,not not naked,1,KendallJenner
100,backstage at @<user> by @<user>,1,KendallJenner
