,post,target
0,new @<user> # moonpartner <url> <url>,1
1,i love each and every one of you thank you for this <url>,1
2,lots and lots of love <url>,1
3,Mars Attacks <url>,1
4,@<user> whole lotta YES,1
5,i feel personally attacked <url>,1
6,my favorite time of year wishing you a beautiful day,1
7,nights with @<user> httpstcotmqa6YW5s7 # moonpartner <url>,1
8,A lil @<user> to brighten your day # moonpartner <url> <url>,1
9,last night on @<user> httpstcow4sUAi0oYA,1
10,watch me get ready for the Met Gala with @<user> httpstco7ld086rG17,1
11,same building i had my sweet 16 at full circle moment <url>,1
12,Oklahoma is trying to execute an innocent man on October 28th Julius Jones has been on death row for over 20 years for a murder he did not commit Take action to demand # JusticeForJulius now <url> <url>,1
13,new Jacquemus campaign by Drew Vickers <url>,1
14,i love this concept <url>,1
15,Its finally hereMeet my new @<user> Platinum Teeth Whitening Pen 2x the whitening power Gentle for all smiles Shop now <url> <url>,1
16,woo glad everyones enjoying <url>,1
17,New from @<user> The Moon Dust Advanced Fresh Breath amp Balancing Paste BoosterWith adaptogens for calming amp soothing benefits on your smile a super sparkly crystalized mint formula for breath freshening # moonpartner <url> <url>,1
18,had a lovely time <url>,1
19,you can say that again <url>,1
20,i love you guys,1
21,im always proud of all of you YOU inspire me love you gorgeous <url>,1
22,proud of you youre beautiful <url>,1
23,one night only <url>,1
24,Summer smiles A lil surprise from @ MoonOralCare is waiting for youhttpstcoFas8wPKVCH # moonpartner <url>,1
25,@<user> @<user> so happy you got some,1
26,love you <url>,1
27,@<user> always dropping the freshest of oral care Shop their new GINGER MINT WHITENING TOOTHPASTEhttpstcosxo8HxJpPQ # moonpartner <url>,1
28,@<user> @<user>,1
29,were launched in Vegas @<user> <url>,1
30,The favorite in my @<user> oral beauty routine Shop my Teeth Whitening PenhttpstcopiFcFZ8YQi # moonpartner <url>,1
31,yay NY here we come <url>,1
32,dreams <url>,1
33,all new items up on my kloset <url>,1
34,im so happy to hear that be the best YOU love you <url>,1
35,i cant wait for there to be more opportunities for you to get to know me even more and hopefully i get to know you someday love you <url>,1
36,whos watching our # KUWTKReunion,1
37,The wait is over @<user> sold out MOON DUST is back in stock Shop my oral beauty favehttpstcoXuk5AqLNBb # moonpartner <url>,1
38,im not good at goodbyes they have been with us for so long family <url>,1
39,wow great memories and blessings <url>,1
40,i just shed a tiny tear also this collab <url>,1
41,@<user> i love my people so so much,1
42,this was so fun <url>,1
43,The 3rd episode from my series with @<user> on mental health out now httpstcoUxnd0MFVUq,1
44,so glad you enjoyed <url>,1
45,on my way see you in 10 <url>,1
46,hahah classic shes so silly <url>,1
47,get ready <url>,1
48,I have struggled with anxiety and panic attacks since i was a little girl I wanted to dive deeper to better understand what i was feeling but more so to share this information with others who may struggle too i am excited for you to watch my 4 part series fist ep out now <url>,1
49,NEW # VogueHongKong covers by # ZoeyGrossman <url>,1
50,@<user> 2nd birthday # httpsbitly3guF7fl # moonpartner <url>,1
51,# BurberryAW21 <url>,1
52,hahaha <url>,1
53,how did you find this video tiny kenny this and my horses is what i lived for <url>,1
54,hiiiii <url>,1
55,Its the minis for me @ MoonOralCare OnTheGo Kit are my favorite little items to bring with me # moonpartnerhttpstcofYzl8LnlcD <url>,1
56,mom this looks like a pregnancy announcement <url>,1
57,Oral beauty @<user> # moonpartnerhttpstco9oG3iS9FUA <url>,1
58,My monthly @ MoonOralCare reupShop the new OnTheGo Kit # moonpartnerhttpstcoIFmFkaLHJc <url>,1
59,coming 325 my fragrance with @<user> @ KimKardashian <url>,1
60,i love yall very much dont forget it <url>,1
61,lmao i love him happy bday buttface @<user> <url>,1
62,precisely <url>,1
63,THE FIRST EVER @<user> Gelso so excited about this one # moonparterhttpstcoz3NOWyhOlT,1
64,im a fun drunk @<user> <url>,1
65,@<user> SOO GOOD whats your instagram acct ok if i post,1
66,@<user> YESSSS MAAM,1
67,@<user> did you paint this i love,1
68,i am an extremely lucky girl appreciative of all that i have but i want you to know i have bad days too and that i hear you you are beautiful just the way you are its not always as perfect as it may seem <url>,1
69,vday is coming @<user> BTS <url>,1
70,my space in @<user> Sept 2020 <url>,1
71,a new day a good day,1
72,sweetsour <url>,1
73,Secret to my smile @ moonoralcare # moonpartner <url> <url>,1
74,this just <break>s my heart <url>,1
75,weeee <url>,1
76,@<user> i am grateful to have you,1
77,@<user> youre the angel,1
78,@<user> thankful for YOU your support means the world,1
79,@<user> exactly happy thanksgiving,1
80,in this past year ive found it hard to keep my spirits up at times and have struggled a bit with my mental what gets me through it is gratitude be thankful today for what you have sending love,1
81,check out my beauty secrets with @<user> httpstcoClK03Gxs8h,1
82,check out the new items added to Kardashian Kloset <url>,1
83,im emotional relieved and filled with joy this morning,1
84,this is sooooo cute and creative thank you i hope to meet you one day <url>,1
85,@<user> LOVE YOU MEAN IT,1
86,love you guys endlessly <url>,1
87,you legend <url>,1
88,me as Pamela Anderson in Barb Wire GO VOTE <url>,1
89,Pamela Anderson in Barb Wire <url>,1
90,lmao actually tho <url>,1
91,thank you for joining youre great REGISTER AND VOTE PEOPLE <url>,1
92,going live tomorrow morning on my IG with @<user> and @<user> to get some questions answered TUNE IN TUNE IN TUNE IN 10am PST <url>,1
93,Chaos Mag by Luigi and Iango <url>,1
94,feeling very blessed everyday <url>,1
95,@<user> i love every room pretty much i say it enough in the video lol,1
96,my @<user> Open Door video of me and my house <url>,1
97,mornings are brighter with @<user> # moonpartnerhttpstcotfzBIGssrN <url>,1
98,Its National MOON Day @<user> # moonpartnerhttpstcotfzBIGssrN <url>,1
99,@<user> love you lots,1
100,hope everyone enjoys <url>,1
101,LIVE NOW AT <url> <url>,1
102,wearing our KENDALL X KYLIE makeup collab and not much else <url>,1
103,my fav ever <url>,1
104,sister <url>,1
105,this is photoshopped by someone i DID NOT post this <url>,1
106,please help get justice for George and his family # JusticeForGeorgeFloyd # BlackLivesMatter <url>,1
107,its out go watch # KirbyJenner on @<user> now happy # nationalbrothersday to my twinhttpstcofyHQzUjM2Q,1
108,new Vogue Japan cover story <url>,1
109,secrets out my twin brother # KirbyJenner has a show drops this sunday on @ Quibi <url>,1
110,How are you really I am proud to stand with @<user> and The Mental Health Coalition to end the stigma against mental health conditions # howareyoureallychallengejoin me <url>,1
111,screensaver <url>,1
112,its just an honor to be there and be able to wear such amazing designers theyre all my fav <url>,1
113,some METs of the past @<user> <url>,1
114,@<user> @<user> today,1
115,Were donating 100 of our net proceeds to @<user> shop now httpstcoYQ9fbCJahL,1
116,we got all the secrets <url>,1
117,they act like im not in full control of where i throw this cooch <url>,1
118,Im working with @<user> to send product to healthcare workers that are heroically fighting COVID19 at the Keck Medicine of USC centers Sending to everyone on the frontlines # moonpartner <url>,1
119,1 week as a blonde remember <url>,1
120,hiiii <url>,1
121,"2 out of 5 accurate, thanks <url>",1
122,just reminiscing in this tough timeSTAY SAFE OUT THERE <url>,1
123,oh hey! who’s watching #KUWTK ??? https://t.co/tIx6o1dT2N,1
124,Congrats Paris <url>,0
125,pumpkin spice and everything nice for Pariss wedding <url>,0
126,Heart and Soul <url>,0
127,We are keeping all of the victims families and loved ones impacted in our prayers for healing as well as Travis who we know cares so much about his fans and is truly devastated,0
