,post,target
0,new @<user> # moonpartner <url> <url>,1
1,i love each and every one of you thank you for this <url>,1
2,lots and lots of love <url>,1
3,Mars Attacks <url>,1
4,@<user> whole lotta YES,1
5,i feel personally attacked <url>,1
6,my favorite time of year wishing you a beautiful day,1
7,nights with @<user> httpstcotmqa6YW5s7 # moonpartner <url>,1
8,A lil @<user> to brighten your day # moonpartner <url> <url>,1
9,last night on @<user> httpstcow4sUAi0oYA,1
10,watch me get ready for the Met Gala with @<user> httpstco7ld086rG17,1
11,same building i had my sweet 16 at full circle moment <url>,1
12,Oklahoma is trying to execute an innocent man on October 28th Julius Jones has been on death row for over 20 years for a murder he did not commit Take action to demand # JusticeForJulius now <url> <url>,1
13,new Jacquemus campaign by Drew Vickers <url>,1
14,i love this concept <url>,1
15,Its finally hereMeet my new @<user> Platinum Teeth Whitening Pen 2x the whitening power Gentle for all smiles Shop now <url> <url>,1
16,woo glad everyones enjoying <url>,1
17,New from @<user> The Moon Dust Advanced Fresh Breath amp Balancing Paste BoosterWith adaptogens for calming amp soothing benefits on your smile a super sparkly crystalized mint formula for breath freshening # moonpartner <url> <url>,1
18,had a lovely time <url>,1
19,you can say that again <url>,1
20,i love you guys,1
21,im always proud of all of you YOU inspire me love you gorgeous <url>,1
22,proud of you youre beautiful <url>,1
23,one night only <url>,1
24,Summer smiles A lil surprise from @ MoonOralCare is waiting for youhttpstcoFas8wPKVCH # moonpartner <url>,1
25,@<user> @<user> so happy you got some,1
26,love you <url>,1
27,@<user> always dropping the freshest of oral care Shop their new GINGER MINT WHITENING TOOTHPASTEhttpstcosxo8HxJpPQ # moonpartner <url>,1
28,were launched in Vegas @<user> <url>,1
29,The favorite in my @<user> oral beauty routine Shop my Teeth Whitening PenhttpstcopiFcFZ8YQi # moonpartner <url>,1
30,yay NY here we come <url>,1
31,dreams <url>,1
32,all new items up on my kloset <url>,1
33,im so happy to hear that be the best YOU love you <url>,1
34,i cant wait for there to be more opportunities for you to get to know me even more and hopefully i get to know you someday love you <url>,1
35,whos watching our # KUWTKReunion,1
36,The wait is over @<user> sold out MOON DUST is back in stock Shop my oral beauty favehttpstcoXuk5AqLNBb # moonpartner <url>,1
37,im not good at goodbyes they have been with us for so long family <url>,1
38,wow great memories and blessings <url>,1
39,i just shed a tiny tear also this collab <url>,1
40,@<user> i love my people so so much,1
41,this was so fun <url>,1
42,The 3rd episode from my series with @<user> on mental health out now httpstcoUxnd0MFVUq,1
43,so glad you enjoyed <url>,1
44,on my way see you in 10 <url>,1
45,hahah classic shes so silly <url>,1
46,get ready <url>,1
47,I have struggled with anxiety and panic attacks since i was a little girl I wanted to dive deeper to better understand what i was feeling but more so to share this information with others who may struggle too i am excited for you to watch my 4 part series fist ep out now <url>,1
48,NEW # VogueHongKong covers by # ZoeyGrossman <url>,1
49,@<user> 2nd birthday # httpsbitly3guF7fl # moonpartner <url>,1
50,My favorite purse essential @ MoonOralCare Stain Prevention Teeth Wipes # moonpartnerhttpstcoIkJTukU2Ca <url>,1
51,hahaha <url>,1
52,how did you find this video tiny kenny this and my horses is what i lived for <url>,1
53,hiiiii <url>,1
54,Its the minis for me @ MoonOralCare OnTheGo Kit are my favorite little items to bring with me # moonpartnerhttpstcofYzl8LnlcD <url>,1
55,mom this looks like a pregnancy announcement <url>,1
56,Oral beauty @<user> # moonpartnerhttpstco9oG3iS9FUA <url>,1
57,My monthly @ MoonOralCare reupShop the new OnTheGo Kit # moonpartnerhttpstcoIFmFkaLHJc <url>,1
58,coming 325 my fragrance with @<user> @ KimKardashian <url>,1
59,i love yall very much dont forget it <url>,1
60,lmao i love him happy bday buttface @<user> <url>,1
61,precisely https://t.co/rf93cZMRFH,1
62,Congrats Paris <url>,0
63,pumpkin spice and everything nice for Pariss wedding <url>,0
64,Heart and Soul <url>,0
65,We are keeping all of the victims families and loved ones impacted in our prayers for healing as well as Travis who we know cares so much about his fans and is truly devastated,0
66,Absolutely heartbroken for the lives who were lost and anyone who was hurt at Astroworld Just like all of you our family is in shock by the tragedy,0
67,Added some new items to my # KardashianCloset Check them out now <url>,0
68,Words cant describe my love for you OMG I love you so much mom <url>,0
69,Happy Birthday Mommy @<user> you are ultimate goals You are my hero You are my life Thank you for being the most nonjudgmental loving human being Ive ever met You take care of us all so selflessly <url>,0
70,My baby Kenny @<user> You are the cutest prettiest human alive you actually arent real youre perfect Happy Birthday I love you to infinity and beyond <url>,0
71,Oh just wait <url>,0
72,Thank you so much to the @<user> for the honor of winning the Brand Innovator Award Im wearing our new @<user> x @<user> dress and @<user> jewelry <url>,0
73,I always talk about my skincare and my makeup routine but I never talk about my oral care routine # ad I keep my teeth super white with @<user> Go to <url> amp use code KKW for 10 off to get one in my new favorite colorway # brushBURST # BURSTlavender <url>,0
74,Just dropped new @<user> Silk Shop now at <url> <url>,0
75,More Space Cowboy Halloween vibez <url>,0
76,Halloween Vibezzzzz @<user> @<user> @<user> <url>,0
77,Halloween 2021 CowBot Costume by Manfred Thierry Mugler <url>,0
78,Thank you @<user> amp everyone who marched for @<user> today The Oklahoma Pardon and Parole board voted 31 to recommend clemency and to commute Juliuss sentence to life with the possibility of parole The fight isnt over and he needs to come home # JusticeForJulius,0
79,Happy Birthday to the one and only @<user> Love You babe,0
80,Happy Halloween Ive been having so much fun playing with costumes in my game Be creative and see what you can wear in @<user> <url> <url>,0
81,Just added new items to my # KardashianKloset <url>,0
82,Tune in to @<user> final Haunted House today <url>,0
83,Pinkalicious Balenciaga <url>,0
84,Just dropped @<user> Essential Bodysuits <url> <url>,0
85,new levels of devils <url>,0
86,FENDI X SKIMS Dream Team Fendi Artistic Director of Couture and Womenswear @<user> Steven MeiselStylist @<user> Artist @<user> @<user> <url>,0
87,WSJ MAGAZINE NOVEMBER 2021 <url> <url>,0
88,Introducing FENDI x SKIMS a first of its kind collaboration that unites the luxury of @<user> with the innovation of @<user> This limited edition collection launches on November 9 at 6am PST at <url> # fendiskims <url>,0
89,LAST DAY to shop 25 off sitewide <url> <url>,0
90,Thank you so much for all of the birthday love I love you guys so much <url>,0
91,Come celebrate my birthday with me in my game @<user> <url> <url>,0
92,All the feels <url>,0
93,Have you guys started watching @<user> Its a new feelgood show thats all about second chances and chasing ones dreams Tune in to # TheBigLeap on Mondays at 98c on @<user> and catch up on the latest episodes now on @<user> # AD <url>,0
94,KRAVIS FOREVER @<user> @<user> <url>,0
95,Just added new items to my # KardashianKlosetCheck them out now <url>,0
96,Just dropped new @<user> SLEEP Shop now at <url> <url>,0
97,If you missed the show its now streaming on @<user> <url>,0
98,The amount of work that the entire @<user> team puts in to make a show like this even possible is unmatched Im forever grateful for this experience and to everyone that supported me and worked so hard to make this all possible Thank you <url>,0
99,Sorry I needed a few days to decompress I cant wait to share my incredible SNL content with you over the next few days Hosting Saturday Night Live was probably one of the best experiences of my career <url>,0
100,Just added new items to my # KardashianKloset <url>,0
101,Just dropped new @<user> Waffle <url> <url>,0
102,LIVE at 1130p EST Tomorrow @<user> <url>,0
103,2 more sleeps @<user> <url>,0
104,Just dropped @<user> Soft Lounge <url> <url>,0
105,Just added new items to my # KardashianKloset <url>,0
106,TATS <url>,0
107,Just dropped @<user> SOCKS exclusively at <url> <url>,0
